producto_id,nombre_producto,descripcion,sku,precio,cantidad_disponible,activo,catalogo_id,nombre_catalogo,marca_id,nombre_marca,linea_id,nombre_linea,categorias,proveedor_nombre,proveedor_direccion,proveedor_telefono,proveedor_email
39,Creamy Garlic Mashed Potatoes,Rich and buttery mashed potatoes with roasted garlic.,1bce2e0b-fe53-479d-bce5-aada1671154a,3.99,872,true,50,Automotive50,30,Sprayology MenoPower,1,Potatoes,Food - Sides,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
142,Sports Bottle,BPA-free sports bottle with flip-top lid.,d37b616b-7957-484c-a1a3-8718c6abe75b,15.99,389,false,50,Automotive50,81,Rose Sap Patch,71,Hydration Gear,Fitness,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
147,Mango Chia Pudding,Healthy chia pudding made with mango and coconut milk.,2a40b60d-2492-4c99-a551-b9728e3287fb,4.49,853,true,50,Automotive50,53,Neutrogena SkinClearing,67,Healthy Snacks,Food - Snacks,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
247,Almond Coconut Granola,Crunchy granola with almonds and coconut.,607855cb-22aa-4e94-937e-58872767ba43,3.99,111,false,50,Automotive50,40,Sandy Beaches Antibacterial Foaming Hand Wash,62,Granola and Muesli,Food - Breakfast Foods,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
356,Coconut Chia Pudding,Creamy chia pudding made with coconut milk and topped with mango.,0b107f77-e2fb-4d10-ab2a-3d74f974ca40,3.49,34,false,50,Automotive50,11,MAZON MEDICATED PSORIASIS,70,Dairy Alternatives,Food - Dairy,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
362,Dark Chocolate Bars,"Rich dark chocolate bars, perfect for a sweet treat.",bb2cfb99-3e0b-4423-8360-f6c906121d1c,2.99,370,false,50,Automotive50,63,Stendra,64,Chocolate Snacks,Food - Snacks,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
430,LED Strip Light Kit,Flexible light strips for creative home decor.,99632edc-45e0-4548-b555-e1aa520e1d63,39.99,509,true,50,Automotive50,29,Lioresal,97,Lighting & Lamps,Home,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
498,Garden Hose Reel,Compact hose reel to keep your garden tidy.,16d5c214-f657-4523-99e1-4a15fae3856d,49.99,76,true,50,Automotive50,32,OFLOXACIN,34,Garden Tools,Garden,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
507,Water Bottle with Built-in Fruit Infuser,Stay hydrated with refreshing flavored water.,7cc06252-e513-4846-bff6-24c2d149b6cd,18.99,114,false,50,Automotive50,68,"Food - Plant Source, Strawberry Fragaria chiloensis",68,Fitness Accessories,Fitness,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
544,Maple Bacon Potato Chips,Savory potato chips with a hint of maple sweetness and crispy bacon flavor.,55cb7a8b-5779-4f9d-8403-daefe9d80178,2.89,487,true,50,Automotive50,90,Throat and Chest Anise and Menthol,79,Savory Snacks,Food - Snacks,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
681,Travel Laundry Bag,Compact laundry bag for travel use.,0413567a-5d4f-433c-a36d-1bfadae11ab9,9.99,44,true,50,Automotive50,50,"Butalbital, Acetaminophen, Caffeine and Codeine Phosphate",37,Travel Accessories,Travel,JumpXS,91790 Little Fleur Alley,920-707-1619,tkynochqr@utexas.edu
781,Honey Roasted Peanuts,"Crunchy peanuts coated in honey, perfect for snacking.",c9d4b0f2-fda0-4e1f-b3dc-e78bbdf206ba,3.19,879,true,91,Automotive91,89,Fluocinonide,10,Nuts and Seeds,Food - Snacks,Cogidoo,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
7,Children's Backpack,Stylish and functional backpack for school or trips.,424751d5-ef74-4e4b-9f20-01b18c0d1ee5,29.99,980,false,92,Automotive92,11,AMARANTHUS RETROFLEXUS POLLEN,24,Kids' Bags,Accessories,Vipe,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
91,Himalayan Pink Salt,"Natural mineral salt with a subtle flavor, ideal for cooking and seasoning.",34ba934d-0601-4d12-a8f0-07a57fa748e4,1.99,387,true,92,Automotive92,22,Date Palm Pollen,1,Specialty Salts,Food - Condiments,Vipe,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
181,Wall Planner,Large wall planner for organizing schedules.,b194cd65-55ee-4536-b8ee-de849c87a8a7,19.99,925,false,92,Automotive92,54,Green Olive,82,Organizational Tools,Office,Vipe,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
207,Pesto Pasta Sauce,Rich basil pesto sauce for pasta and more.,51838082-42fb-4e04-88bc-578b9263fe77,3.99,248,false,92,Automotive92,80,healthy accents aspirin,9,Pasta Sauces,Food - Sauces,Vipe,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
212,Black Bean & Corn Salad,"A fresh salad made with black beans, corn, and a zesty dressing, great for summer cookouts.",2c4771c1-c89d-4357-bab8-662f9922c0b7,3.99,266,false,92,Automotive92,97,NWI Artificial Tears Eye,98,Vegetarian Salads,Food - Salads,Vipe,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
485,Garden Hose Reel,Compact hose reel to keep your garden tidy.,de84c1a3-4b7f-4e76-8bbe-0cba2fd27844,49.99,44,true,92,Automotive92,29,PMS RELIEF,99,Garden Tools,Garden,Vipe,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
630,Smartphone Car Mount with Wireless Charging,Secure phone mount that wirelessly charges your device while driving.,139e9996-bb77-411f-844b-d9c4d27074d1,39.99,90,true,92,Automotive92,28,Leflunomide,44,Phone Accessories,Automotive,Vipe,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
754,Pepperoni Pizza Roll-Ups,"Savory pizza filled with pepperoni and cheese, ready to microwave.",ae0db837-0a8a-469b-84ae-81df31369401,5.99,372,true,92,Automotive92,15,Clopidogrel Bisulfate,35,Frozen Snacks,Food - Frozen Foods,Vipe,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
