producto_id,nombre_producto,descripcion,sku,precio,cantidad_disponible,activo,catalogo_id,nombre_catalogo,marca_id,nombre_marca,linea_id,nombre_linea,categorias,proveedor_nombre,proveedor_direccion,proveedor_telefono,proveedor_email
1,Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,393710cf-4152-49af-be3e-c458b01dfffa,6.49,103,false,31,Kids,34,Synthroid,35,Frozen Meals,Food - Frozen Food,Brainbox,28 Merchant Crossing,933-906-1563,adudding0@bigcartel.com
2,Kid's Fruit Snacks,Assorted fruit-flavored gummy snacks that kids love.,09f0e069-c058-4311-b7e0-2092c8a816ad,2.49,863,true,90,Kids,43,NARS ALL DAY LUMINOUS FOUNDATION,16,Sweet Snacks,Food - Snacks,Jabbersphere,445 Fallview Court,101-538-4847,mmarler1@tumblr.com
3,Garden Kneeler and Seat,Convertible kneeler and seat for gardening comfort.,b9073d58-a9e1-451a-baac-132ad86c8098,39.99,800,false,70,Electronics,85,LBEL HYDRATESS,98,Garden Tools,Garden,Cogibox,8366 Jay Plaza,990-236-8418,kschimek2@sakura.ne.jp
4,Glass Water Bottle,Borosilicate glass water bottle with silicone sleeve.,41b8c842-6321-4d26-b22e-7ccbb1e8ba15,25.99,428,true,89,Grocery,44,InnoPran XL,57,Hydration Gear,Fitness,Edgetag,50 Morningstar Terrace,146-970-1751,gcorr3@github.com
5,Smartphone Tripod,Adjustable tripod for smartphones and cameras.,0787604c-93a1-49be-9018-a111b85fbb77,29.99,380,false,10,Clothing,43,Ranitidine,81,Tripods & Accessories,Photography,Wordify,06 Memorial Way,233-955-8420,theugle4@webs.com
6,Apple Juice,Refreshing apple juice, 100% juice with no added sugar.,00b9f06d-9c41-43c4-88a7-62464f7bdfca,3.29,825,false,47,Beauty,20,"Pollens - Grasses, Grass Mix 8",26,Juice,Food - Beverages,Flashpoint,065 Nevada Avenue,400-841-4929,ccrocetti5@imgur.com
7,Children's Backpack,Stylish and functional backpack for school or trips.,424751d5-ef74-4e4b-9f20-01b18c0d1ee5,29.99,980,false,92,Movies,11,AMARANTHUS RETROFLEXUS POLLEN,24,Kids' Bags,Accessories,Vipe,4 Portage Park,578-820-7592,cfauning6@theatlantic.com
8,Raspberry Limeade,Sweet and tangy raspberry lime beverage,b15c777a-7574-4845-9204-0a52432d5bbd,1.99,670,true,24,Books,39,Trimethoprim,48,Juice,Food - Beverages,Viva,3 Clemons Point,914-484-8319,nwilcher7@upenn.edu
9,Fishing Tackle Box,Organized tackle box for fishing gear.,72af9668-1a25-4101-a4e9-6c34bd5bf43b,24.99,639,false,95,Games,82,METFORMIN HYDROCHLORIDE,10,Fishing Equipment,Outdoor,Brightbean,08 Nobel Circle,833-126-9008,skaasman8@google.es
10,Adjustable Height Standing Desk Converter,Convert your desk to a standing desk easily.,9b43fb90-18a6-4d87-942b-b3ab2fe7c129,89.99,501,true,98,Games,68,Rosanil,27,Furniture,Office,Topdrive,0 Little Fleur Junction,302-151-1613,rfaudrie9@ca.gov
